"GDDM","GDXM","BCRQ","CJBH","GSDM","CJSL","BCYE","ZQDM","SBSJ","CJSJ","CJJG","CJJE","SQBH","BS","MJBH"
"D890755588","","20090317",745274,"21257",100,227550,"600596","100143","100143",38,3800,"  00000088","B","23136"
"D890755588","","20090317",751993,"21257",200,227750,"600596","100143","100207",38,7600,"  00000088","B","23136"
"D890755588","","20090317",756868,"21257",100,227850,"600596","100143","100225",38,3800,"  00000088","B","23136"
"D890755588","","20090317",757522,"21257",100,227950,"600596","100143","100227",38,3800,"  00000088","B","23136"
"D890755588","","20090317",766636,"21257",2000,229950,"600596","100152","100258",38,76000,"  00000089","B","23136"
"D890755588","","20090317",781312,"21257",4500,234450,"600596","100347","100347",38,171000,"  00000098","B","23136"
"D890755588","","20090317",781313,"21257",300,234750,"600596","100347","100347",38,11400,"  00000098","B","23136"
"D890755588","","20090317",781314,"21257",500,235250,"600596","100347","100347",38,19000,"  00000098","B","23136"
"D890755588","","20090317",781315,"21257",720,235970,"600596","100347","100347",38,27360,"  00000098","B","23136"
"D890755588","","20090317",781316,"21257",1980,237950,"600596","100347","100347",38,75240,"  00000098","B","23136"
"D890755588","","20090317",818079,"21257",110,238060,"600596","095917","100539",38,4180,"  00000075","B","23136"
"D890755588","","20090317",824702,"21257",600,238660,"600596","095917","100559",38,22800,"  00000075","B","23136"
"D890755588","","20090317",825398,"21257",2740,241400,"600596","095917","100600",38,104120,"  00000075","B","23136"
"D890755588","","20090317",838040,"21257",40,241440,"600596","095746","100634",38,1520,"  00000068","B","23136"
"D890755588","","20090317",856331,"21257",13134,254574,"600596","100726","100726",38,499092,"  00000113","B","23136"
"D890755588","","20090317",856332,"21257",1866,256440,"600596","100726","100726",38,70908,"  00000113","B","23136"
"D890755588","","20090317",860690,"21257",5860,262300,"600596","100739","100739",38,222680,"  00000114","B","23136"
"D890755588","","20090317",862890,"21257",2140,264440,"600596","100739","100745",38,81320,"  00000114","B","23136"
"D890755588","","20090317",882569,"21257",200,264640,"600596","095746","100833",38,7600,"  00000068","B","23136"
"D890755588","","20090317",887888,"21257",3660,268300,"600596","095746","100847",38,139080,"  00000068","B","23136"
"D890755588","","20090317",975097,"21257",9000,277300,"600596","101221","101221",38,342000,"  00000141","B","23136"
"D890755588","","20090317",1021835,"21257",600,277900,"600596","101221","101433",38,22800,"  00000141","B","23136"
"D890755588","","20090317",1025169,"21257",300,278200,"600596","101221","101443",38,11400,"  00000141","B","23136"
"D890755588","","20090317",1028080,"21257",100,278300,"600596","101221","101450",38,3800,"  00000141","B","23136"
"D890755588","","20090317",1062054,"21257",1434,279734,"600596","101631","101631",38,54492,"  00000157","B","23136"
"D890755588","","20090317",1062055,"21257",566,280300,"600596","101631","101631",38,21508,"  00000157","B","23136"
"D890755588","","20090317",1081048,"21257",4600,284900,"600596","095557","101728",38,174800,"  00000063","B","23136"
"D890755588","","20090317",1138404,"21257",800,285700,"600596","102033","102033",38,30400,"  00000173","B","23136"
"D890755588","","20090317",1138405,"21257",500,286200,"600596","102033","102033",38,19000,"  00000173","B","23136"
"D890755588","","20090317",1138406,"21257",3000,289200,"600596","102033","102033",38,114000,"  00000173","B","23136"
"D890755588","","20090317",1138407,"21257",5000,294200,"600596","102033","102033",38,190000,"  00000173","B","23136"
"D890755588","","20090317",1142341,"21257",700,294900,"600596","102033","102046",38,26600,"  00000173","B","23136"
"D890755588","","20090317",1155758,"21257",200,295100,"600596","102131","102131",38,7600,"  00000177","B","23136"
